Country,Edu2.FM,Labo.FM,Edu.Exp,Life.Exp,GNI,Mat.Mor,Ado.Birth,Parli.F
Norway,1.0072388831437435,0.8908296943231441,17.5,81.6,64992,4,7.8,39.6
Australia,0.9968287526427062,0.8189415041782729,20.2,82.4,42261,6,12.1,30.5
Switzerland,0.9834368530020704,0.8251001335113484,15.8,83,56431,6,1.9,28.5
Denmark,0.9886128364389236,0.8840361445783133,18.7,80.2,44025,5,5.1,38
Netherlands,0.969060773480663,0.8286118980169972,17.9,81.6,45435,6,6.2,36.9
Germany,0.9927835051546392,0.8072289156626505,16.5,80.9,43919,7,3.8,36.9
Ireland,1.024173027989822,0.7797356828193833,18.6,80.9,39568,9,8.2,19.9
United States,1.0031645569620251,0.8171262699564585,16.5,79.1,52947,28,31,19.4
Canada,1,0.867605633802817,15.9,82,42155,11,14.5,28.2
New Zealand,0.9968520461699896,0.8401084010840109,19.2,81.8,32689,8,25.3,31.4
Singapore,0.9148148148148147,0.7616580310880828,15.4,83,76628,6,6,25.3
Sweden,0.990836197021764,0.8880706921944034,15.8,82.2,45636,4,6.5,43.6
United Kingdom,0.9989989989989988,0.8107714701601164,16.2,80.7,39267,8,25.8,23.5
Iceland,0.9934497816593888,0.9108527131782944,19,82.6,35182,4,11.5,41.3
Korea (Republic of),0.8641975308641976,0.694868238557559,16.9,81.9,33890,27,2.2,16.3
Israel,0.9667812142038948,0.8379160636758322,16,82.4,30676,2,7.8,22.5
Luxembourg,1,0.7848297213622292,13.9,81.7,58711,11,8.3,28.3
Japan,1.013986013986014,0.6931818181818181,15.3,83.5,36927,6,5.4,11.6
Belgium,0.9348612786489746,0.8010118043844857,16.3,80.8,41187,6,6.7,42.4
France,0.9375,0.823051948051948,16,82.2,38056,12,5.7,25.7
Austria,1,0.8064992614475628,15.7,81.4,43869,4,4.1,30.3
Finland,1,0.8703125,17.1,80.8,38695,4,9.2,42.5
Slovenia,0.9775510204081632,0.8275316455696202,16.8,80.4,27852,7,0.6,27.7
Spain,0.9138166894664844,0.7978723404255319,17.3,82.6,32045,4,10.6,38
Italy,0.884472049689441,0.665546218487395,16,83.1,33030,4,4,30.1
Czech Republic,1.0020060180541626,0.7481698389458273,16.4,78.6,26660,5,4.9,18.9
Greece,0.8880597014925373,0.7072,17.6,80.9,24524,5,11.9,21
Estonia,1,0.8156748911465892,16.5,76.8,25214,11,16.8,19.8
Cyprus,0.9302325581395348,0.7876230661040788,14,80.2,28633,10,5.5,12.5
Qatar,1.1305084745762712,0.5319371727748691,13.8,78.2,123124,6,9.5,0
Slovakia,0.9959798994974872,0.7448979591836735,15.1,76.3,25845,7,15.9,18.7
Poland,0.928654970760234,0.7534668721109398,15.5,77.4,23177,3,12.2,22.1
Lithuania,0.9448568398727464,0.8291233283803863,16.4,73.3,24500,11,10.6,23.4
Malta,0.877237851662404,0.5716440422322775,14.4,80.6,27930,9,18.2,13
Saudi Arabia,0.860597439544808,0.25798212005108556,16.3,74.3,52821,16,10.2,19.9
Argentina,0.9774305555555556,0.6333333333333333,17.9,76.3,22050,69,54.4,36.8
United Arab Emirates,1.1944444444444442,0.5054347826086957,13.3,77,60868,8,27.6,17.5
Chile,0.9594240837696334,0.6577540106951872,15.2,81.7,21290,22,55.3,15.8
Portugal,0.9896265560165975,0.8293051359516616,16.3,80.9,25757,8,12.6,31.3
Hungary,0.9918946301925026,0.7466666666666666,15.4,75.2,22916,14,12.1,10.1
Bahrain,1.103112840466926,0.45109321058688145,14.4,76.6,38599,22,13.8,15
Latvia,0.9989898989898992,0.812130177514793,15.2,74.2,22281,13,13.5,18
Croatia,0.9081196581196582,0.7654109589041097,14.8,77.3,19409,13,12.7,25.8
Kuwait,0.9875666074600356,0.5246690734055356,14.7,74.4,83961,14,14.5,1.5
Montenegro,0.8891235480464625,0.7504363001745201,15.2,76.2,14558,7,15.2,17.3
Belarus,0.9436008676789588,0.7939778129952456,15.7,71.3,16676,1,20.6,30.1
Russian Federation,0.9686486486486486,0.796373779637378,14.7,70.1,22352,24,25.7,14.5
Oman,0.8266199649737304,0.35108958837772397,13.6,76.8,34858,11,10.6,9.6
Romania,0.9358695652173912,0.7503852080123267,14.2,74.7,18108,33,31,12
Uruguay,1.0815109343936382,0.7239583333333334,15.5,77.2,19283,14,58.3,11.5
Bahamas,1.041095890410959,0.8738965952080706,12.6,75.4,21336,37,28.5,16.7
Kazakhstan,0.9645748987854252,0.8690629011553274,15,69.4,20867,26,29.9,20.1
Barbados,1.0205245153933866,0.8603133159268931,15.4,75.6,12488,52,48.4,19.6
Bulgaria,0.9717868338557992,0.811864406779661,14.4,74.2,15596,5,35.9,20.4
Panama,1.0821643286573146,0.5990220048899756,13.3,77.6,18192,85,78.5,19.3
Malaysia,0.9130434782608696,0.5880794701986755,12.7,74.7,22762,29,5.7,14.2
Mauritius,0.8517241379310344,0.5876010781671159,15.6,74.4,17470,73,30.9,11.6
Trinidad and Tobago,0.9802955665024632,0.7019867549668874,12.3,70.4,26090,84,34.8,24.7
Serbia,0.7934782608695653,0.7307060755336617,14.4,74.9,12190,16,16.9,34
Cuba,0.9428934010152284,0.62,13.8,79.4,7301,80,43.1,48.9
Lebanon,0.9566787003610108,0.32863187588152326,13.8,79.3,16509,16,12,3.1
Costa Rica,1.003960396039604,0.589873417721519,13.9,79.4,13413,38,60.8,33.3
Iran (Islamic Republic of),0.9201183431952664,0.2255434782608696,15.1,75.4,15440,23,31.6,3.1
Venezuela (Bolivarian Republic of),1.1141732283464567,0.6452020202020202,14.2,74.2,16159,110,83.2,17
Turkey,0.65,0.4152542372881356,14.5,75.3,18677,20,30.9,14.4
Sri Lanka,0.9515706806282722,0.4600262123197903,13.7,74.9,9779,29,16.9,5.8
Mexico,0.9191419141914192,0.5644555694618273,13.1,76.8,16056,49,63.4,37.1
Brazil,1.0419847328244276,0.7351485148514851,15.2,74.5,15175,69,70.8,9.6
Georgia,0.9676375404530744,0.7523302263648469,13.8,74.9,7164,41,46.8,11.3
Azerbaijan,0.962012320328542,0.903735632183908,11.9,70.8,16428,26,40,15.6
Jordan,0.8853503184713376,0.23423423423423423,13.5,74,11365,50,26.5,11.6
The former Yugoslav Republic of Macedonia,0.723021582733813,0.6385185185185185,13.4,75.4,11780,7,18.3,33.3
Ukraine,0.9562043795620436,0.7952167414050821,15.1,71,8178,23,25.7,11.8
Algeria,0.8612903225806451,0.21052631578947367,14,74.8,13054,89,10,25.7
Peru,0.8517397881996974,0.8080568720379147,13.1,74.6,11015,89,50.7,22.3
Albania,0.930602957906712,0.6854961832061068,11.8,77.8,9943,21,15.3,20.7
Armenia,0.9894736842105264,0.7465564738292012,12.3,74.7,8124,29,27.1,10.7
Bosnia and Herzegovina,0.6432664756446992,0.5951134380453753,13.6,76.5,9638,8,15.1,19.3
Ecuador,1.017766497461929,0.6614268440145102,14.2,75.9,10605,87,77,41.6
China,0.8164116828929068,0.8160919540229885,13.1,75.8,12547,32,8.6,23.6
Fiji,0.9953488372093025,0.5208333333333334,15.7,70,7493,59,42.8,14
Mongolia,1.014268727705113,0.8167388167388168,14.6,69.4,10729,68,18.7,14.9
Thailand,0.8750000000000001,0.7967781908302354,13.5,74.4,13323,26,41,6.1
Libya,1.324582338902148,0.3926701570680628,14,71.6,14911,15,2.5,16
Tunisia,0.7114967462039045,0.3540197461212976,14.6,74.8,10404,46,4.6,31.3
Colombia,1.0233812949640286,0.7001254705144291,13.5,74,12040,83,68.5,20.9
Jamaica,1.054131054131054,0.7912552891396333,12.4,75.7,7415,80,70.1,16.7
Tonga,0.9909399773499434,0.7171581769436998,14.7,72.8,5069,120,18.1,0
Belize,1.007915567282322,0.597812879708384,13.6,70,7614,45,71.4,13.3
Dominican Republic,1.0470809792843692,0.6526717557251909,13.1,73.5,11883,100,99.6,19.1
Suriname,0.9469214437367304,0.5886627906976745,12.7,71.1,15617,130,35.2,11.8
Maldives,0.8348623853211009,0.7251612903225807,13,76.8,12328,31,4.2,5.9
Samoa,1.0716666666666663,0.4023972602739726,12.9,73.4,5327,58,28.3,6.1
Botswana,0.944801026957638,0.8811274509803922,12.5,64.5,16646,170,44.2,9.5
Moldova (Republic of),0.968944099378882,0.8506787330316742,11.9,71.6,5223,21,29.3,20.8
Egypt,0.7244224422442244,0.31684491978609625,13.5,71.1,10512,45,43,2.2
Gabon,1.4930747922437673,0.8593272171253822,12.5,64.4,16367,240,103,16.2
Indonesia,0.8109756097560975,0.6104513064133016,13,68.9,9788,190,48.3,17.1
Paraguay,0.8558139534883721,0.6568396226415095,11.9,72.9,7643,110,67,16.8
Philippines,1.0345368916797488,0.6411543287327478,11.3,68.2,7915,120,46.8,27.1
El Salvador,0.8440366972477064,0.6050632911392405,12.3,73,7349,69,76,27.4
South Africa,0.9578392621870884,0.7355371900826446,13.6,57.4,12122,140,50.9,40.7
Viet Nam,0.8342696629213483,0.8880778588807785,11.9,75.8,5092,49,29,24.3
Bolivia (Plurinational State of),0.805414551607445,0.7935723114956736,13.2,68.3,5760,200,71.9,51.8
Kyrgyzstan,0.9762396694214877,0.7044025157232704,12.5,70.6,3044,75,29.3,23.3
Iraq,0.5537848605577689,0.21346704871060176,10.1,69.4,14003,67,68.7,26.5
Guyana,1.2615062761506275,0.529192546583851,10.3,66.4,6522,250,88.5,31.3
Nicaragua,1.0287206266318538,0.5902864259028643,11.5,74.9,4457,100,100.8,39.1
Morocco,0.6854304635761589,0.3496042216358839,11.6,74,6850,120,35.8,11
Namibia,0.9680232558139534,0.858712715855573,11.3,64.8,9418,130,54.9,37.7
Guatemala,0.9439655172413792,0.5589569160997732,10.7,71.8,6929,140,97.2,13.3
Tajikistan,1.0427631578947367,0.7639429312581064,11.2,69.4,2517,44,42.8,15.2
India,0.47703180212014135,0.33792240300375465,11.7,68,5497,190,32.8,12.2
Honduras,1.0852713178294573,0.5162846803377563,11.1,73.1,3938,120,84,25.8
Bhutan,0.9855072463768116,0.8639896373056994,12.6,69.5,7176,120,40.9,8.3
Syrian Arab Republic,0.7283950617283951,0.1856946354883081,12.3,69.6,2728,49,41.6,12.4
Congo,0.8446808510638298,0.9383561643835616,11.1,62.3,6012,410,126.7,11.5
Zambia,0.5863636363636364,0.8539719626168224,13.5,60.1,3734,280,125.4,12.7
Ghana,0.6986089644513138,0.9425770308123248,11.5,61.4,3852,380,58.4,10.9
Bangladesh,0.8256658595641647,0.6825208085612366,10,71.6,3191,170,80.6,20
Cambodia,0.4323144104803494,0.9109826589595376,10.9,68.4,2949,170,44.3,19
Kenya,0.8057324840764332,0.8591160220994475,11,61.6,2762,400,93.6,20.8
Nepal,0.4633507853403141,0.9173363949483354,12.4,69.6,2311,190,73.7,29.5
Pakistan,0.41865509761388287,0.2967430639324487,7.8,66.2,4866,170,27.3,19.7
Myanmar,1.4967320261437906,0.91373025516403406,8.6,65.9,4608,200,12.1,4.7
Swaziland,0.8423076923076922,0.6131284916201117,11.3,49,5542,310,72,14.7
Tanzania (United Republic of),0.5894736842105263,0.9767184035476716,9.2,65,2411,410,122.7,36
Cameroon,0.6103151862464183,0.8307291666666666,10.4,55.5,2803,590,115.8,27.1
Zimbabwe,0.785483870967742,0.927536231884058,10.9,57.5,1615,470,60.3,35.1
Mauritania,0.3971291866028709,0.36283185840707965,8.5,63.1,3560,320,73.3,22.2
Papua New Guinea,0.5241379310344827,0.9527027027027029,9.9,62.6,2463,220,62.1,2.7
Yemen,0.32209737827715357,0.35180055401662047,9.2,63.8,3519,270,47,0.7
Lesotho,1.1526315789473685,0.8027210884353742,11.1,49.8,3306,490,89.4,26.8
Togo,0.3995037220843673,0.991389913899139,12.2,59.7,1228,450,91.5,17.6
Haiti,0.6363636363636362,0.8577464788732394,8.7,62.8,1669,380,42,3.5
Rwanda,0.9090909090909092,1.012895662368113,10.3,64.2,1458,320,33.6,57.5
Uganda,0.6835820895522388,0.957070707070707,9.8,58.5,1613,360,126.6,35
Benin,0.41851851851851857,0.8633461047254151,11.1,59.6,1767,340,90.2,8.4
Sudan,0.6648351648351648,0.4118421052631579,7,63.5,3809,360,84,23.8
Senegal,0.4675324675324675,0.75,7.9,66.5,2188,320,94.4,42.7
Afghanistan,0.19798657718120807,0.19874213836477989,9.3,60.4,1885,400,86.8,27.6
C̫te d'Ivoire,0.46511627906976744,0.6437346437346436,8.9,51.5,3171,720,130.3,9.2
Malawi,0.5138888888888888,1.038036809815951,10.8,62.8,747,510,144.8,16.7
Ethiopia,0.4285714285714286,0.8756998880179172,8.5,64.1,1428,420,78.4,25.5
Gambia,0.5523809523809523,0.8709288299155609,8.8,60.2,1507,430,115.8,9.4
Congo (Democratic Republic of the),0.39506172839506176,0.9658469945355193,9.8,58.7,680,730,135.3,8.2
Liberia,0.3918575063613232,0.8981481481481483,9.5,60.9,805,640,117.4,10.7
Mali,0.5099337748344371,0.624078624078624,8.4,58,1583,550,175.6,9.5
Mozambique,0.2258064516129032,1.032608695652174,9.3,55.1,1123,480,137.8,39.6
Sierra Leone,0.4608294930875576,0.9521739130434784,8.6,50.9,1780,1100,100.7,12.4
Burkina Faso,0.28125,0.8566666666666666,7.8,58.7,1591,400,115.4,13.3
Burundi,0.6385542168674698,1.0158536585365854,10.1,56.7,758,740,30.3,34.9
Chad,0.1717171717171717,0.8080808080808081,7.4,51.6,2085,980,152,14.9
Central African Republic,0.3782771535580524,0.8531139835487661,7.2,50.7,581,880,98.3,12.5
Niger,0.3076923076923077,0.4459308807134894,5.4,61.4,908,630,204.8,13.3
